Category: All categories

Day,Bitcoin: (Worldwide)
2017-01-01,17
2017-01-02,28
2017-01-03,25
2017-01-04,30
2017-01-05,37
2017-01-06,31
2017-01-07,26
2017-01-08,24
2017-01-09,23
2017-01-10,21
2017-01-11,24
2017-01-12,25
2017-01-13,21
2017-01-14,19
2017-01-15,18
2017-01-16,17
2017-01-17,19
2017-01-18,19
2017-01-19,18
2017-01-20,17
2017-01-21,17
2017-01-22,16
2017-01-23,17
2017-01-24,18
2017-01-25,16
2017-01-26,17
2017-01-27,16
2017-01-28,16
2017-01-29,15
2017-01-30,15
2017-01-31,17
2017-02-01,17
2017-02-02,18
2017-02-03,19
2017-02-04,17
2017-02-05,17
2017-02-06,17
2017-02-07,17
2017-02-08,19
2017-02-09,21
2017-02-10,18
2017-02-11,17
2017-02-12,16
2017-02-13,16
2017-02-14,16
2017-02-15,16
2017-02-16,17
2017-02-17,18
2017-02-18,17
2017-02-19,15
2017-02-20,16
2017-02-21,20
2017-02-22,20
2017-02-23,21
2017-02-24,25
2017-02-25,20
2017-02-26,18
2017-02-27,20
2017-02-28,20
2017-03-01,21
2017-03-02,25
2017-03-03,32
2017-03-04,26
2017-03-05,22
2017-03-06,23
2017-03-07,24
2017-03-08,25
2017-03-09,24
2017-03-10,32
2017-03-11,28
2017-03-12,21
2017-03-13,22
2017-03-14,21
2017-03-15,20
2017-03-16,21
2017-03-17,22
2017-03-18,25
2017-03-19,23
2017-03-20,22
2017-03-21,22
2017-03-22,22
2017-03-23,21
2017-03-24,22
2017-03-25,23
2017-03-26,20
2017-03-27,21
2017-03-28,20
2017-03-29,20
2017-03-30,19
2017-03-31,19
2017-04-01,19
2017-04-02,18
2017-04-03,20
2017-04-04,20
2017-04-05,20
2017-04-06,20
2017-04-07,20
2017-04-08,19
2017-04-09,19
2017-04-10,19
2017-04-11,21
2017-04-12,20
2017-04-13,20
2017-04-14,18
2017-04-15,17
2017-04-16,18
2017-04-17,19
2017-04-18,20
2017-04-19,20
2017-04-20,19
2017-04-21,19
2017-04-22,18
2017-04-23,17
2017-04-24,19
2017-04-25,21
2017-04-26,22
2017-04-27,23
2017-04-28,22
2017-04-29,20
2017-04-30,20
2017-05-01,25
2017-05-02,27
2017-05-03,28
2017-05-04,34
2017-05-05,32
2017-05-06,27
2017-05-07,27
2017-05-08,30
2017-05-09,39
2017-05-10,37
2017-05-11,40
2017-05-12,46
2017-05-13,50
2017-05-14,42
2017-05-15,55
2017-05-16,47
2017-05-17,41
2017-05-18,37
2017-05-19,41
2017-05-20,41
2017-05-21,44
2017-05-22,66
2017-05-23,70
2017-05-24,77
2017-05-25,100
2017-05-26,78
2017-05-27,67
2017-05-28,53
2017-05-29,51
2017-05-30,51
2017-05-31,49
2017-06-01,47
2017-06-02,43
2017-06-03,41
2017-06-04,39
2017-06-05,44
2017-06-06,60
2017-06-07,53
2017-06-08,46
2017-06-09,46
2017-06-10,43
2017-06-11,46
2017-06-12,58
2017-06-13,52
2017-06-14,50
2017-06-15,60
2017-06-16,51
2017-06-17,44
2017-06-18,41
2017-06-19,43
2017-06-20,46
2017-06-21,46
2017-06-22,45
2017-06-23,44
2017-06-24,41
2017-06-25,40
2017-06-26,47
2017-06-27,54
2017-06-28,51
2017-06-29,43
2017-06-30,38
2017-07-01,36
2017-07-02,36
2017-07-03,37
2017-07-04,37
2017-07-05,37
2017-07-06,38
2017-07-07,35
2017-07-08,33
2017-07-09,34
2017-07-10,39
2017-07-11,44
2017-07-12,42
2017-07-13,38
2017-07-14,38
2017-07-15,44
2017-07-16,49
2017-07-17,46
2017-07-18,48
2017-07-19,43
2017-07-20,47
2017-07-21,48
2017-07-22,41
2017-07-23,42
2017-07-24,42
2017-07-25,45
2017-07-26,46
2017-07-27,44
2017-07-28,46
2017-07-29,40
2017-07-30,38
2017-07-31,48
2017-08-01,78
2017-08-02,71
2017-08-03,49
2017-08-04,45
2017-08-05,57
2017-08-06,49
2017-08-07,58
2017-08-08,59
2017-08-09,53
2017-08-10,49
2017-08-11,54
2017-08-12,62
2017-08-13,77
2017-08-14,83
2017-08-15,85
2017-08-16,71
2017-08-17,70
2017-08-18,71
2017-08-19,64
2017-08-20,58
2017-08-21,59
2017-08-22,66
2017-08-23,61
2017-08-24,58
2017-08-25,60
2017-08-26,53
2017-08-27,50
2017-08-28,56
2017-08-29,64
2017-08-30,66
2017-08-31,69
2017-09-01,75
