,EpochDate,no_submissions,tax_NEG,tax_NEU,tax_POS,ban_NEG,ban_NEU,ban_POS,DMS_NEG,DMS_NEU,DMS_POS,bitcoin_NEG,bitcoin_NEU,bitcoin_POS
0,1483228800,320,0,1,1,2,0,0,9,53,28,20,57,80
1,1483315200,349,2,0,1,2,1,1,11,25,28,37,88,95
2,1483401600,295,0,0,2,2,1,1,6,24,18,34,79,86
3,1483488000,568,1,0,3,1,0,1,17,45,43,51,132,130
4,1483574400,579,1,1,2,1,1,0,19,48,43,53,137,136
5,1483660800,431,1,0,2,8,3,1,10,21,21,54,97,94
6,1483747200,243,0,0,2,1,2,0,10,8,12,22,57,61
7,1483833600,239,1,0,1,2,0,0,4,6,11,21,51,68
8,1483920000,271,1,0,0,2,0,0,10,6,10,34,80,80
9,1484006400,210,0,1,1,0,0,2,4,4,11,20,56,50
10,1484092800,351,0,1,2,5,1,0,5,10,15,41,89,81
11,1484179200,308,0,0,1,3,0,0,5,13,13,42,80,70
12,1484265600,224,0,0,1,2,0,0,8,3,13,33,53,57
13,1484352000,177,0,0,1,2,0,4,1,3,12,19,43,46
14,1484438400,141,0,0,1,0,0,1,2,3,6,19,35,35
15,1484524800,204,1,2,4,1,0,2,5,6,16,21,52,65
16,1484611200,266,0,0,1,1,1,0,6,4,9,29,52,64
17,1484697600,221,0,0,1,5,2,0,4,7,12,25,72,44
18,1484784000,223,0,0,3,4,0,1,4,5,5,24,55,56
19,1484870400,191,1,1,1,0,2,0,1,5,8,15,44,55
20,1484956800,142,0,0,0,0,0,0,1,3,5,14,30,46
21,1485043200,175,0,0,0,1,0,0,2,6,9,15,39,46
22,1485129600,200,0,0,2,3,0,0,7,4,8,18,57,55
23,1485216000,235,0,0,1,2,1,1,4,3,15,24,55,55
24,1485302400,296,0,2,0,4,0,2,5,6,7,50,50,65
25,1485388800,199,0,1,0,8,0,0,8,8,6,27,43,41
26,1485475200,211,0,1,1,2,2,1,4,6,15,16,41,49
27,1485561600,139,0,1,0,1,0,0,3,2,11,11,32,40
28,1485648000,138,0,0,0,2,0,0,0,2,7,14,32,32
29,1485734400,189,0,1,0,0,1,0,1,3,10,16,39,46
30,1485820800,217,0,1,0,1,0,0,7,13,12,20,55,60
31,1485907200,175,1,0,1,2,0,1,6,7,15,13,35,41
32,1485993600,269,0,0,0,1,0,3,4,18,29,15,49,76
33,1486080000,251,0,0,1,1,0,0,9,17,20,25,54,62
34,1486166400,184,0,0,0,0,0,0,9,2,8,23,44,42
35,1486252800,163,1,1,1,0,0,1,3,3,9,18,25,52
36,1486339200,191,0,0,1,0,0,0,6,4,13,20,48,56
37,1486425600,253,1,0,1,0,2,0,8,2,6,28,59,72
38,1486512000,271,0,1,1,1,2,2,6,8,14,29,81,62
39,1486598400,344,3,0,1,6,0,1,6,11,16,43,61,74
40,1486684800,249,0,1,1,3,1,1,6,8,11,31,58,56
41,1486771200,162,0,0,2,0,0,0,4,4,12,14,40,51
42,1486857600,157,0,1,2,0,0,0,2,7,9,17,42,49
43,1486944000,207,1,0,0,1,1,0,4,11,9,17,59,54
44,1487030400,198,0,0,0,0,0,2,6,7,17,19,49,49
45,1487116800,180,2,0,1,2,1,0,4,3,13,20,43,47
46,1487203200,211,1,1,0,1,0,0,4,10,13,18,56,57
47,1487289600,215,1,4,0,1,0,1,3,6,11,15,59,51
48,1487376000,163,0,0,1,2,0,1,2,1,10,20,31,52
49,1487462400,168,0,1,1,1,0,0,3,7,7,14,38,50
50,1487548800,200,0,0,0,2,0,0,2,7,17,17,54,55
51,1487635200,285,0,0,2,2,1,0,5,14,17,32,56,64
52,1487721600,295,1,0,0,2,1,2,7,18,15,32,72,72
53,1487808000,395,1,0,4,2,1,1,8,27,21,36,93,91
54,1487894400,417,0,1,1,7,0,1,14,33,29,37,83,91
55,1487980800,236,0,0,2,2,1,0,7,9,12,25,56,61
56,1488067200,187,1,0,2,1,0,0,2,4,5,21,36,50
57,1488153600,261,1,0,1,2,0,1,4,5,16,24,56,66
58,1488240000,277,0,0,2,2,0,0,5,7,12,28,56,60
59,1488326400,334,0,1,2,3,0,2,9,13,14,42,60,95
60,1488412800,427,0,0,2,1,0,0,13,27,25,43,103,110
61,1488499200,333,0,0,0,0,0,1,7,20,21,46,67,99
62,1488585600,253,0,0,3,1,0,0,7,3,18,30,43,73
63,1488672000,212,0,2,3,0,0,0,5,4,15,22,46,69
64,1488758400,289,0,0,2,1,0,0,6,7,15,20,56,89
65,1488844800,423,0,2,3,0,0,0,7,13,22,37,97,125
66,1488931200,351,0,1,2,1,1,0,6,9,16,48,82,72
67,1489017600,324,0,2,0,0,0,0,3,4,7,45,64,83
68,1489104000,747,0,0,3,1,0,1,14,25,28,73,135,125
69,1489190400,337,0,0,3,1,0,1,8,7,18,57,55,100
70,1489276800,229,0,0,2,0,0,0,4,9,16,29,37,67
71,1489363200,299,0,0,2,2,0,0,4,8,11,32,71,76
72,1489449600,373,2,0,2,1,0,1,6,8,12,40,80,98
73,1489536000,362,2,0,0,1,0,1,5,16,13,40,87,75
74,1489622400,333,1,0,1,1,0,0,5,9,9,47,67,71
75,1489708800,452,0,0,0,1,0,1,10,8,16,65,87,113
76,1489795200,433,1,1,5,0,1,0,8,11,18,76,77,87
77,1489881600,362,0,0,2,0,0,1,4,8,10,49,65,84
78,1489968000,394,2,0,0,0,0,1,3,6,14,56,64,105
79,1490054400,357,0,2,0,0,1,2,7,7,12,59,58,86
80,1490140800,387,0,1,1,0,0,0,3,8,14,55,69,93
81,1490227200,267,0,0,1,0,0,0,6,4,8,41,58,56
82,1490313600,359,2,0,4,4,0,1,4,8,14,64,68,88
83,1490400000,309,0,0,1,1,1,0,5,6,9,36,60,80
84,1490486400,238,0,0,0,1,0,0,4,5,6,35,46,49
85,1490572800,271,0,0,2,1,0,1,7,4,11,38,58,68
86,1490659200,267,0,1,0,1,0,0,2,4,8,35,67,65
87,1490745600,223,1,0,1,0,0,0,3,1,7,30,54,48
88,1490832000,214,0,0,1,1,3,1,5,3,6,22,41,44
89,1490918400,214,0,1,1,2,0,0,2,4,10,21,54,50
90,1491004800,205,1,2,0,1,0,1,3,5,11,20,49,57
91,1491091200,172,0,0,0,1,0,0,1,7,5,8,41,28
92,1491177600,241,0,0,1,1,0,1,1,6,11,21,54,60
93,1491264000,240,1,0,0,0,0,0,5,3,9,25,59,52
94,1491350400,247,0,0,1,0,0,1,2,3,6,19,50,73
95,1491436800,351,1,0,2,0,0,0,4,9,10,39,58,64
96,1491523200,242,0,0,3,0,0,0,2,10,12,24,43,49
97,1491609600,159,1,0,0,1,0,0,2,2,6,19,29,35
98,1491696000,167,1,0,1,1,0,0,1,2,7,15,26,33
99,1491782400,197,0,0,1,5,0,0,2,5,10,19,34,51
100,1491868800,225,1,0,1,0,1,0,6,7,8,13,60,56
101,1491955200,231,0,1,0,1,0,0,2,7,6,12,55,53
