,dates,no_submissions,no_days,subPerDay
0,ALL,83341,246,338.7845528455285
1,28 Septembre 2020  -  4 January 2021,0,0,
2,4 January 2021 -   27 January 2021,0,0,
3,27 January 2021 - 21 February 2021,0,0,
4,21 February 2021 - 8 May 2021,2211,5,442.2
5, 8 May 2021 - 23 May 2021,11109,15,740.6
6, 23 May 2021 - 19 July 2021,22688,57,398.03508771929825
7,19 July 2021 - 13 August 2021,7441,25,297.64
8,13 August 2021 - 28 September 2021,12318,46,267.7826086956522
9,28 September 2021 - 20 October 2021,6563,22,298.3181818181818
10,20 October 2021 - 25 November 2021,11217,36,311.5833333333333
11,25 November 2021 - 2 January 2022,9484,38,249.57894736842104
